Active,Admin2,Combined_Key,Confirmed,Country_Region,Deaths,FIPS,Incident_Rate,Last_Update,Lat,Long_,OBJECTID,People_Tested,Province_State,Recovered
0,Worcester,"Worcester, Maryland, US",9,US,0,24047,,1586178941000,38.21274277,-75.33200012,2466,,Maryland,0
0,Worcester,"Worcester, Massachusetts, US",978,US,17,25027,,1586178941000,42.35026951,-71.90493363,2467,,Massachusetts,0
0,Worth,"Worth, Georgia, US",37,US,2,13321,,1586178941000,31.55162306,-83.85090513,2468,,Georgia,0
0,Worth,"Worth, Missouri, US",1,US,0,29227,,1586178941000,40.47945588,-94.42328751,2469,,Missouri,0
0,Wright,"Wright, Iowa, US",1,US,0,19197,,1586178941000,42.73305373,-93.73515113,2470,,Iowa,0
0,Wright,"Wright, Minnesota, US",9,US,0,27171,,1586178941000,45.17297924,-93.96234781,2471,,Minnesota,0
0,Wright,"Wright, Missouri, US",7,US,0,29229,,1586178941000,37.27029221,-92.46914488,2472,,Missouri,0
0,Wyandot,"Wyandot, Ohio, US",5,US,0,39175,,1586178941000,40.84339621,-83.30734173,2473,,Ohio,0
0,Wyandotte,"Wyandotte, Kansas, US",158,US,6,20209,,1586178941000,39.11727348,-94.76378225,2474,,Kansas,0
0,Wyoming,"Wyoming, New York, US",22,US,1,36121,,1586178941000,42.70145109,-78.22199579,2475,,New York,0
0,Wyoming,"Wyoming, Pennsylvania, US",5,US,0,42131,,1586178941000,41.51955538,-76.01074915,2476,,Pennsylvania,0
0,Wythe,"Wythe, Virginia, US",2,US,0,51197,,1586178941000,36.91582035,-81.07834059,2477,,Virginia,0
0,Yadkin,"Yadkin, North Carolina, US",9,US,0,37197,,1586178941000,36.16222629,-80.66239436,2478,,North Carolina,0
0,Yakima,"Yakima, Washington, US",326,US,12,53077,,1586178941000,46.45738486,-120.7380126,2479,,Washington,0
0,Yalobusha,"Yalobusha, Mississippi, US",9,US,0,28161,,1586178941000,34.02824175,-89.7076205,2480,,Mississippi,0
0,Yamhill,"Yamhill, Oregon, US",26,US,3,41071,,1586178941000,45.23330449,-123.3086963,2481,,Oregon,0
0,Yankton,"Yankton, South Dakota, US",14,US,0,46135,,1586178941000,43.00924485,-97.39467635,2482,,South Dakota,0
0,Yates,"Yates, New York, US",1,US,0,36123,,1586178941000,42.63505484,-77.10369919,2483,,New York,0
0,Yavapai,"Yavapai, Arizona, US",45,US,0,04025,,1586178941000,34.59933926,-112.5538588,2484,,Arizona,0
0,Yazoo,"Yazoo, Mississippi, US",31,US,1,28163,,1586178941000,32.77890365,-90.39656148,2485,,Mississippi,0
0,Yell,"Yell, Arkansas, US",1,US,0,05149,,1586178941000,35.00292371,-93.41171338,2486,,Arkansas,0
0,Yellow Medicine,"Yellow Medicine, Minnesota, US",1,US,0,27173,,1586178941000,44.71710183,-95.86842453,2487,,Minnesota,0
0,Yellowstone,"Yellowstone, Montana, US",40,US,0,30111,,1586178941000,45.93955949,-108.2691486,2488,,Montana,0
0,Yolo,"Yolo, California, US",37,US,1,06113,,1586178941000,38.68278902,-121.9018288,2489,,California,0
0,York,"York, Maine, US",101,US,1,23031,,1586178941000,43.47808377,-70.71052375,2490,,Maine,0
0,York,"York, Nebraska, US",1,US,0,31185,,1586178941000,40.87272618,-97.59710186,2491,,Nebraska,0
0,York,"York, Pennsylvania, US",171,US,1,42133,,1586178941000,39.9210089,-76.73040131,2492,,Pennsylvania,0
0,York,"York, South Carolina, US",85,US,2,45091,,1586178941000,34.97281497,-81.18085944,2493,,South Carolina,0
0,York,"York, Virginia, US",20,US,1,51199,,1586178941000,37.24374789,-76.54412815,2494,,Virginia,0
0,Young,"Young, Texas, US",3,US,0,48503,,1586178941000,33.17659707,-98.68790885,2495,,Texas,0
0,Yuba,"Yuba, California, US",9,US,0,06115,,1586178941000,39.26255932,-121.3535644,2496,,California,0
